Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10017 1.5063309e+05 2.0000000e+00 3.3255172e+04 1.9371139e+09 1.1737792e+05 1.3924034e+05 9.1000000e+01 1.3715352e+05 1.1938851e+06 2.0868281e+03 9.9890709e+01 9.5910002e-03 8.9155575e-03 1.7785445e-02 9.2716366e-03 1.3353899e-02 3.7683852e-02 6.6881822e-03 2.6722075e-03 3.3425782e-03
10018 1.3508806e+05 2.0000000e+00 3.4771672e+04 1.5322602e+09 1.0031639e+05 1.3730423e+05 8.8000000e+01 1.3506183e+05 8.4157644e+05 2.2424062e+03 9.9880707e+01 1.2144515e-02 7.6188841e-03 9.1344053e-03 1.8333998e-02 2.4559386e-02 2.9750669e-02 1.0520948e-02 3.4530121e-03 3.6834369e-03
10019 1.3093400e+05 1.0000000e+00 2.2229568e+04 8.5599309e+08 1.0870443e+05 1.3297520e+05 9.9000000e+01 1.3215127e+05 1.1899151e+05 8.2393750e+02 9.9959053e+01 8.6900294e-03 2.4799975e-03 9.5098669e-04 9.7169420e-03 3.8397687e-03 3.4682988e-03 8.6183744e-03 1.8023385e-03 1.2838389e-03
10020 1.31088000e+05 1.00000000e+00 2.49854180e+04 8.52620096e+08 1.06102578e+05 1.34096562e+05 9.50000000e+01 1.32823703e+05 2.65209562e+05 1.27285938e+03 9.99441681e+01 1.12609705e-02 2.90904124e-03 2.15030229e-03 1.27199506e-02 8.50527920e-03 3.79355624e-03 1.09155755e-02 2.21676589e-03 1.26116350e-03
10023 1.3082100e+05 1.0000000e+00 3.4470621e+04 1.5372640e+09 9.6350375e+04 1.3523148e+05 8.8000000e+01 1.3338517e+05 6.8907544e+05 1.8463125e+03 9.9910767e+01 1.0583364e-02 5.6744646e-03 9.8115625e-03 1.5411221e-02 2.0400047e-02 1.2035043e-02 8.3606280e-03 3.1245954e-03 3.7587879e-03
10026 1.3049700e+05 1.0000000e+00 3.7929305e+04 1.7022470e+09 9.2567695e+04 1.3626083e+05 8.8000000e+01 1.3353556e+05 1.2220258e+06 2.7252656e+03 9.9831413e+01 1.2709630e-02 6.9560916e-03 7.3391614e-03 1.7180728e-02 3.3707675e-02 6.7788228e-02 9.6128648e-03 4.5810007e-03 8.7018721e-03
10028 1.31409000e+05 1.00000000e+00 3.07540195e+04 1.22502643e+09 1.00654984e+05 1.36461891e+05 8.80000000e+01 1.33809828e+05 1.11072012e+06 2.65206250e+03 9.99002075e+01 8.99831858e-03 4.10788041e-03 3.23823211e-03 1.49804121e-02 1.76505186e-02 3.38620581e-02 9.64390859e-03 2.54276604e-03 4.73413477e-03
10029 1.30484000e+05 1.00000000e+00 2.85846270e+04 9.64747008e+08 1.01899375e+05 1.34325656e+05 8.40000000e+01 1.32329406e+05 8.34044875e+05 1.99625000e+03 9.99251404e+01 9.99285188e-03 4.64416062e-03 1.88699772e-03 1.38986530e-02 1.56990811e-02 1.39724473e-02 8.78505409e-03 3.12990532e-03 2.83979345e-03
1002 1.3152600e+05 1.0000000e+00 3.2189287e+04 1.3665897e+09 9.9336711e+04 1.3630758e+05 9.5000000e+01 1.3412486e+05 7.4849938e+05 2.1827188e+03 9.9901680e+01 8.6963512e-03 4.7797454e-03 6.7203166e-03 1.3691870e-02 1.6233968e-02 3.4829367e-02 8.6667882e-03 2.4815036e-03 2.0806037e-03
10030 1.3042300e+05 1.0000000e+00 2.7019979e+04 9.4908602e+08 1.0340302e+05 1.3396347e+05 8.0000000e+01 1.3230259e+05 3.9447197e+05 1.6608750e+03 9.9934059e+01 9.7703198e-03 4.0155705e-03 1.7879489e-03 1.1562869e-02 9.6338484e-03 1.5663661e-02 1.0305676e-02 1.7493168e-03 1.4465734e-03
