Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10057 1.3094100e+05 1.0000000e+00 2.9596781e+04 1.2595808e+09 1.0134422e+05 1.3550738e+05 8.4000000e+01 1.3336048e+05 7.5909069e+05 2.1468906e+03 9.9918732e+01 8.5049057e-03 4.2699822e-03 3.6687127e-03 1.0234822e-02 1.6698511e-02 2.2745101e-02 9.8172557e-03 2.2358375e-03 3.0565034e-03
10058 1.3436500e+05 1.0000000e+00 2.9968137e+04 1.6182164e+09 1.0439686e+05 1.4071655e+05 8.8000000e+01 1.3734392e+05 1.9555828e+06 3.3726250e+03 9.9918236e+01 5.5605932e-03 4.6537584e-03 6.7610163e-03 8.7477826e-03 1.3504856e-02 3.2484256e-02 5.4756789e-03 1.1368135e-03 3.5250094e-03
1005 1.31138000e+05 1.00000000e+00 2.62967637e+04 9.42283648e+08 1.04841234e+05 1.34737094e+05 8.80000000e+01 1.33026453e+05 4.54623812e+05 1.71064062e+03 9.99325790e+01 8.88597872e-03 3.35046137e-03 3.05055710e-03 1.04210153e-02 1.12026753e-02 1.68607589e-02 8.42189323e-03 2.84175458e-03 2.30275211e-03
10061 1.3390900e+05 1.0000000e+00 2.6677367e+04 1.4373290e+09 1.0723163e+05 1.3866422e+05 8.8000000e+01 1.3639536e+05 1.1339405e+06 2.2688594e+03 9.9931389e+01 5.3824829e-03 3.5150123e-03 7.8254230e-03 6.1410223e-03 8.7591968e-03 3.1192476e-02 3.8140782e-03 8.8151934e-04 8.3812297e-04
10063 1.3182200e+05 1.0000000e+00 2.4796582e+04 8.8378016e+08 1.0702542e+05 1.3448881e+05 8.4000000e+01 1.3336719e+05 2.0809095e+05 1.1216250e+03 9.9948799e+01 1.0268185e-02 3.8075056e-03 1.1283779e-03 9.4318846e-03 9.1860034e-03 3.9755469e-03 9.3729906e-03 2.4985783e-03 1.4754855e-03
10064 1.3079900e+05 1.0000000e+00 3.1877926e+04 1.2238116e+09 9.8921078e+04 1.3485055e+05 9.9000000e+01 1.3309672e+05 4.7406506e+05 1.7538281e+03 9.9905334e+01 1.0715233e-02 5.4372107e-03 4.8755170e-03 1.6113950e-02 1.4466456e-02 2.8500855e-02 8.3536655e-03 3.7437538e-03 2.4223838e-03
10065 1.3074900e+05 1.0000000e+00 2.7905344e+04 1.0154550e+09 1.0284366e+05 1.3419556e+05 9.9000000e+01 1.3270034e+05 3.9720612e+05 1.4952188e+03 9.9925270e+01 9.7749420e-03 4.6095541e-03 2.8135928e-03 1.1893619e-02 1.0552618e-02 1.6553957e-02 9.6791824e-03 2.0434957e-03 6.7419666e-03
10066 1.3103600e+05 1.0000000e+00 3.2437029e+04 1.4051680e+09 9.8598969e+04 1.3503906e+05 9.9000000e+01 1.3343775e+05 4.7655297e+05 1.6013125e+03 9.9903809e+01 1.0456490e-02 5.1411404e-03 5.8376901e-03 1.1766903e-02 1.6001185e-02 2.9579220e-02 7.8773629e-03 2.2567369e-03 7.1815732e-03
10068 1.3071400e+05 1.0000000e+00 2.8077701e+04 9.5205434e+08 1.0263630e+05 1.3491914e+05 9.1000000e+01 1.3273203e+05 7.4655725e+05 2.1871094e+03 9.9928726e+01 8.5324151e-03 4.1801361e-03 4.6031871e-03 1.2316613e-02 1.3682550e-02 1.4530704e-02 9.2509324e-03 2.3628732e-03 1.7549465e-03
1006 1.31179000e+05 1.00000000e+00 2.47717227e+04 9.16670080e+08 1.06407281e+05 1.33537281e+05 8.80000000e+01 1.32811812e+05 1.05907086e+05 7.25468750e+02 9.99505692e+01 1.05847213e-02 4.13969811e-03 3.22743808e-03 9.85320006e-03 5.20278374e-03 3.97642236e-03 9.29415319e-03 2.31684977e-03 8.05398508e-04
10071 1.3128600e+05 1.0000000e+00 2.3961461e+04 9.0242195e+08 1.0732454e+05 1.3331834e+05 7.6000000e+01 1.3277425e+05 7.7330805e+04 5.4409375e+02 9.9957497e+01 9.4269533e-03 3.6386659e-03 2.4350572e-03 7.5385887e-03 3.6505358e-03 6.1041494e-03 6.4934595e-03 2.0679967e-03 9.8723639e-04
10072 1.3138000e+05 1.0000000e+00 3.1565752e+04 1.4975525e+09 9.9814250e+04 1.3602778e+05 8.8000000e+01 1.3390495e+05 8.8963712e+05 2.1228281e+03 9.9889084e+01 1.0812470e-02 4.1761273e-03 3.6123556e-03 1.3579274e-02 1.2797965e-02 5.1409844e-02 7.6072370e-03 2.0832547e-03 4.7539719e-03
10074 1.3059500e+05 1.0000000e+00 3.1832244e+04 1.4934506e+09 9.8762758e+04 1.3523266e+05 8.4000000e+01 1.3319961e+05 9.5372356e+05 2.0330469e+03 9.9903046e+01 9.3247229e-03 5.2907844e-03 6.6790543e-03 1.4307099e-02 1.4970749e-02 2.9686956e-02 9.1868211e-03 2.3978823e-03 5.0774547e-03
10076 1.3080800e+05 1.0000000e+00 2.6546252e+04 1.0251500e+09 1.0426175e+05 1.3427972e+05 8.0000000e+01 1.3267291e+05 4.1821588e+05 1.6068125e+03 9.9946304e+01 9.0294974e-03 3.2731965e-03 3.3126303e-03 1.1188200e-02 8.5608289e-03 5.0845123e-03 9.3583819e-03 2.7753760e-03 1.0750509e-03
10077 1.3146900e+05 1.0000000e+00 2.8010291e+04 1.0383466e+09 1.0345871e+05 1.3499652e+05 9.1000000e+01 1.3341544e+05 4.1401597e+05 1.5810781e+03 9.9942818e+01 9.3370974e-03 3.7942624e-03 1.4831998e-03 1.0852579e-02 7.4438546e-03 1.3645169e-02 6.9040330e-03 2.4445334e-03 1.2245836e-03
10078 1.3126300e+05 1.0000000e+00 3.1258461e+04 1.2182550e+09 1.0000454e+05 1.3575864e+05 8.0000000e+01 1.3359455e+05 7.0051775e+05 2.1640938e+03 9.9912041e+01 9.9355178e-03 6.0254973e-03 4.9854969e-03 1.4904011e-02 9.1508459e-03 2.4726640e-02 1.0778436e-02 3.0040334e-03 4.3944637e-03
10079 1.30554000e+05 1.00000000e+00 2.45905508e+04 8.03478080e+08 1.05963453e+05 1.32467281e+05 1.15000000e+02 1.31992859e+05 7.97873359e+04 4.74421875e+02 9.99383469e+01 1.31908171e-02 4.35065990e-03 1.59369560e-03 1.42114870e-02 5.38335275e-03 1.88976876e-03 1.53822685e-02 4.14052093e-03 1.50326104e-03
10080 1.3049500e+05 1.0000000e+00 2.5326572e+04 8.0560256e+08 1.0516843e+05 1.3316319e+05 9.9000000e+01 1.3207614e+05 1.7257900e+05 1.0870469e+03 9.9931900e+01 1.3254434e-02 4.1270941e-03 8.1320520e-04 1.5856337e-02 7.8526856e-03 5.7826461e-03 1.5159289e-02 3.6343408e-03 1.5789715e-03
10084 1.3126400e+05 1.0000000e+00 2.4070395e+04 8.6746694e+08 1.0719361e+05 1.3335281e+05 8.8000000e+01 1.3271178e+05 6.9667781e+04 6.4103125e+02 9.9954178e+01 8.3280876e-03 3.7200325e-03 2.7506640e-03 9.1359438e-03 4.6348004e-03 2.6017963e-03 9.2963278e-03 3.2522285e-03 2.1507039e-03
