Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10021 6.0177485e+06 2.0000000e+00 4.5664312e+05 1.2403435e+12 5.5611055e+06 6.4773125e+05 1.8000000e+02 4.2758147e+05 6.5116196e+09 2.2014978e+05 9.9967033e+01 7.9341857e-03 2.4117238e-03 6.4242817e-04 8.0437269e-03 2.1264937e-03 5.1684648e-04 9.1365306e-03 1.6883049e-03 5.4940814e-04
10022 6.0308520e+06 2.0000000e+00 4.5804594e+05 1.2449688e+12 5.5728060e+06 6.4948319e+05 1.8000000e+02 4.2896103e+05 6.5471176e+09 2.2052216e+05 9.9963104e+01 9.3499282e-03 2.5880802e-03 7.0925953e-04 1.0114644e-02 1.8903995e-03 7.0477545e-04 8.6967219e-03 2.2926768e-03 5.0977367e-04
10024 6.0079275e+06 2.0000000e+00 4.5511925e+05 1.2390947e+12 5.5528080e+06 6.4685325e+05 1.8000000e+02 4.2697338e+05 6.4995005e+09 2.1987988e+05 9.9979507e+01 5.2026729e-03 1.7594353e-03 8.8750204e-04 4.2041643e-03 1.7607725e-03 6.7902892e-04 4.4745374e-03 1.1879037e-03 3.2198982e-04
10025 5.9973060e+06 2.0000000e+00 4.5543003e+05 1.2305574e+12 5.5418760e+06 6.4572981e+05 1.8000000e+02 4.2659378e+05 6.4544763e+09 2.1913603e+05 9.9962532e+01 8.8579264e-03 2.6591877e-03 5.4229511e-04 1.0009798e-02 2.1470219e-03 5.8105378e-04 9.4727920e-03 2.7108777e-03 3.7716413e-04
10027 6.0158505e+06 2.0000000e+00 4.5801934e+05 1.2397364e+12 5.5578310e+06 6.4859706e+05 1.8000000e+02 4.2806991e+05 6.5135734e+09 2.2052716e+05 9.9959900e+01 1.1690683e-02 2.1572523e-03 5.4656173e-04 1.0157168e-02 2.5379602e-03 5.9823517e-04 9.4637545e-03 2.3592722e-03 5.6273042e-04
10032 6.0441115e+06 2.0000000e+00 4.5811112e+05 1.2503843e+12 5.5860005e+06 6.5045675e+05 9.0000000e+01 4.2977756e+05 6.5470013e+09 2.2067919e+05 9.9966682e+01 7.6612257e-03 1.6125655e-03 4.5098734e-04 9.0044132e-03 1.9754639e-03 5.8153510e-04 9.3137706e-03 2.1684801e-03 4.3429231e-04
10033 6.02350300e+06 2.00000000e+00 4.57486188e+05 1.24095024e+12 5.56601700e+06 6.47331125e+05 9.00000000e+01 4.27675594e+05 6.50829926e+09 2.19655531e+05 9.99593124e+01 9.18749813e-03 2.87168566e-03 7.35708745e-04 1.04326205e-02 2.67128483e-03 6.01442938e-04 1.06250010e-02 2.66593811e-03 8.21540598e-04
10034 5.9924955e+06 2.0000000e+00 4.5487494e+05 1.2317768e+12 5.5376205e+06 6.4655150e+05 9.0000000e+01 4.2679488e+05 6.4817203e+09 2.1975662e+05 9.9976570e+01 4.0958654e-03 1.2522259e-03 8.8864088e-04 4.9083326e-03 2.3415480e-03 3.6362614e-03 4.5570671e-03 1.2233991e-03 5.5145513e-04
10037 6.0911205e+06 2.0000000e+00 4.6344012e+05 1.2691904e+12 5.6276805e+06 6.5563550e+05 9.0000000e+01 4.3299694e+05 6.6563707e+09 2.2263856e+05 9.9951904e+01 1.2171834e-02 3.2369145e-03 6.9278025e-04 1.2153576e-02 3.2955818e-03 4.8041955e-04 1.2213551e-02 3.0993528e-03 6.0835906e-04
10038 6.0464000e+06 2.0000000e+00 4.5733022e+05 1.2506844e+12 5.5890700e+06 6.4931725e+05 1.8000000e+02 4.2900791e+05 6.5485501e+09 2.2030934e+05 9.9969513e+01 7.9685226e-03 2.2172988e-03 5.1452679e-04 7.6660928e-03 2.2192858e-03 5.3923746e-04 7.7403723e-03 1.3584334e-03 3.1075859e-04
